original_title  -  budget_adj revenue_adj profit_adj
Jurassic World  -  137999939.280026 1392445892.5238 1254445953.244
Mad Max: Fury Road  -  137999939.280026 348161292.489031 210161353.209
Insurgent  -  101199955.472019 271619025.407628 170419069.936
Star Wars: The Force Awakens  -  183999919.040035 1902723129.80182 1718723210.762
Furious 7  -  174799923.088033 1385748801.47052 1210948878.382
The Revenant  -  124199945.352024 490314247.021731 366114301.670
Terminator Genisys  -  142599937.256027 405355075.683766 262755138.428
The Martian  -  99359956.2816192 547749654.310152 448389698.029
Minions  -  68079970.0448131 1064192016.79551 996112046.751
Inside Out  -  160999929.160031 785411574.698907 624411645.539
